date,price,daily_return,mrs,severity,action_bundle,exposure,market_value,flowpay_value
2025-01-30 00:00:00,104735.3046875,0.009952379879751394,,Normal,,1.0,11092.519946459159,11781.737830155824
2025-01-31 00:00:00,102405.0234375,-0.022249243050878498,,Guarded,,0.7,10845.71977412367,11598.243506174416
2025-02-01 00:00:00,100655.90625,-0.017080384621634526,,Guarded,,0.7,10660.470708883171,11459.571784159833
2025-02-02 00:00:00,97688.9765625,-0.02947596219670423,,Guarded,,0.7,10346.243077269059,11223.124450869613
2025-02-03 00:00:00,101405.421875,0.03804365081173988,,Normal,,1.0,10739.851936114064,11650.093078495196
2025-02-04 00:00:00,97871.8203125,-0.034846278405663456,,Guarded,,0.7,10365.60806551263,11365.9194076896
2025-02-05 00:00:00,96615.4453125,-0.012836943218062724,,Guarded,,0.7,10232.545343354952,11263.786844249287
2025-02-06 00:00:00,96593.296875,-0.00022924323774897726,,Guarded,,0.7,10230.199601530028,11261.979341373444
2025-02-07 00:00:00,96529.0859375,-0.0006647556256734743,,Guarded,,0.7,10223.399018793149,11256.738816487066
2025-02-08 00:00:00,96482.453125,-0.00048309597099249757,,Guarded,,0.7,10218.460135917321,11252.932156868936
2025-02-09 00:00:00,96500.09375,0.00018283765004545316,,Normal,,1.0,10220.328455155655,11254.989616540619
2025-02-10 00:00:00,97437.5546875,0.009714611676219231,,Normal,,1.0,10319.614977300906,11364.32747008519
2025-02-11 00:00:00,95747.4296875,-0.017345724709743937,,Guarded,,0.7,10140.613776794095,11226.341723019956
2025-02-12 00:00:00,97885.859375,0.02233406885677658,,Normal,,1.0,10367.09494313499,11477.071612071588
2025-02-13 00:00:00,96623.8671875,-0.012892487184132717,,Guarded,,0.7,10233.437304443936,11373.494013002583
2025-02-14 00:00:00,97508.96875,0.009160278803397981,,Normal,,1.0,10327.178443269737,11477.678389130464
2025-02-15 00:00:00,97580.3515625,0.0007320640697474623,,Normal,,1.0,10334.738599549924,11486.080785083263
2025-02-16 00:00:00,96175.03125,-0.014401672980240199,,Guarded,,0.7,10185.90107390294,11370.28763957929
2025-02-17 00:00:00,95773.3828125,-0.004176223623530095,,Guarded,,0.7,10143.362473211166,11337.04823488657
2025-02-18 00:00:00,95539.546875,-0.0024415545387781457,,Guarded,,0.7,10118.596900526225,11317.672219784607
2025-02-19 00:00:00,96635.609375,0.011472343504350446,,Normal,,1.0,10234.680919951117,11447.51244315962
2025-02-20 00:00:00,98333.9375,0.017574558032842136,,Normal,,1.0,10414.55091372642,11648.69741492361
2025-02-21 00:00:00,96125.546875,-0.02245807176184722,,Guarded,,0.7,10180.66018193854,11465.572317190132
2025-02-22 00:00:00,96577.7578125,0.0047043783073406065,,Normal,,1.0,10228.553858852858,11519.510706880366
2025-02-23 00:00:00,96273.921875,-0.0031460239332733453,,Guarded,,0.7,10196.374583610132,11494.142247411955
2025-02-24 00:00:00,91418.171875,-0.05043681513571874,,Guarded,,0.7,9682.101923682047,11088.332698038495
2025-02-25 00:00:00,88736.171875,-0.029337712021491935,,Guarded,,0.7,9398.05120568233,10860.618279993012
2025-02-26 00:00:00,84347.0234375,-0.04946290046952739,,Guarded,,0.7,8933.196334288143,10484.579903278436
